PortCode,MarketValue,as_of_date
200761,646476.40,2022-05-31
200761,593037.87,2022-06-30
200761,647687.26,2022-07-29
200761,633351.49,2022-08-31
200761,608125.02,2022-09-30
200761,632990.66,2022-10-31
200761,671512.11,2022-11-30
200761,628559.23,2022-12-30
200761,665366.71,2023-01-31
200761,657882.96,2023-02-28
200761,660721.07,2023-03-31
200761,663455.84,2023-04-28
200761,640430.07,2023-05-31
200761,671351.07,2023-06-30
200761,690225.16,2023-07-31
200761,685191.10,2023-08-31
200761,649815.74,2023-09-29
200761,632330.28,2023-10-31
200761,687796.66,2023-11-30
200761,717915.49,2023-12-29
200761,722388.41,2024-01-31
200761,760337.10,2024-02-29
200761,782251.92,2024-03-28
200761,753038.81,2024-04-30
200761,763357.50,2024-05-31
200761,784718.68,2024-06-28
200777,2183529.38,2018-12-31
200777,2302252.08,2019-01-31
200777,2365629.90,2019-02-28
200777,2389509.44,2019-03-29
200777,2481372.92,2019-04-30
200777,2343799.43,2019-05-31
200777,2415234.88,2019-06-28
200777,2456876.01,2019-07-31
200777,2274004.65,2019-08-30
200777,2312406.52,2019-09-30
200777,2327708.79,2019-10-31
200777,2383021.87,2019-11-29
200777,2376988.63,2019-12-31
200777,2425147.34,2020-01-31
200777,2290178.57,2020-02-28
200777,1894269.79,2020-03-31
200777,2055509.94,2020-04-30
200777,2129174.08,2020-05-29
200777,2187003.33,2020-06-30
200777,2277741.24,2020-07-31
200777,2254394.13,2020-08-31
200777,2333944.72,2020-09-30
200777,2287331.60,2020-10-30
200777,2494721.24,2020-11-30
200777,2544248.30,2020-12-31
200777,2526988.07,2021-01-29
200777,2559974.89,2021-02-26
200777,2661665.44,2021-03-31
200777,2680882.25,2021-04-30
200777,2698148.58,2021-05-31
200777,2791489.31,2021-06-30
200777,2866071.55,2021-07-30
200777,2969221.38,2021-08-31
200777,2870854.12,2021-09-30
200777,2579564.06,2021-10-29
200777,2612671.29,2021-11-30
200777,2688026.14,2021-12-31
200777,2564974.20,2022-01-31
200777,2501947.44,2022-02-28
200777,2530166.49,2022-03-31
200777,2280899.61,2022-04-29
200777,2275967.19,2022-05-31
200777,2081693.42,2022-06-30
200777,2269803.41,2022-07-29
200777,2217909.56,2022-08-31
200777,2120912.81,2022-09-30
200777,2176461.91,2022-10-31
200777,2308026.07,2022-11-30
200777,2156935.79,2022-12-30
200777,2280761.80,2023-01-31
200777,2246984.94,2023-02-28
200777,2222477.64,2023-03-31
200777,2228313.57,2023-04-28
200777,2167683.79,2023-05-31
200777,2275983.40,2023-06-30
200777,2295020.26,2023-07-31
200777,2268554.21,2023-08-31
200777,2145848.17,2023-09-29
200777,2083967.13,2023-10-31
200777,2261266.50,2023-11-30
200777,2356874.31,2023-12-29
200777,2366893.99,2024-01-31
200777,2452336.11,2024-02-29
200777,2435555.57,2024-03-28
200777,2337811.98,2024-04-30
200777,2384717.29,2024-05-31
200777,2447388.06,2024-06-28
200778,140183.35,2018-12-31
200778,149597.50,2019-01-31
200778,153354.22,2019-02-28
200778,152147.85,2019-03-29
200778,158695.95,2019-04-30
200778,150744.48,2019-05-31
200778,155422.35,2019-06-28
200778,157909.99,2019-07-31
200778,156023.18,2019-08-30
200778,158502.06,2019-09-30
200778,160155.24,2019-10-31
200778,165486.12,2019-11-29
200778,165631.98,2019-12-31
200778,169953.99,2020-01-31
200778,160400.69,2020-02-28
200778,146496.67,2020-03-31
200778,159283.84,2020-04-30
200778,164522.61,2020-05-29
200778,169394.89,2020-06-30
200778,176659.19,2020-07-31
200778,176433.72,2020-08-31
200778,180934.30,2020-09-30
200778,176962.69,2020-10-30
200778,192331.84,2020-11-30
200778,195983.12,2020-12-31
200778,194464.76,2021-01-29
200778,201667.59,2021-02-26
200778,209879.43,2021-03-31
200778,215887.15,2021-04-30
200778,217060.51,2021-05-31
200778,225484.39,2021-06-30
200778,231485.41,2021-07-30
200778,240152.22,2021-08-31
200778,235645.83,2021-09-30
200778,242288.65,2021-10-29
200778,245842.69,2021-11-30
200778,252324.58,2021-12-31
200778,241522.43,2022-01-31
200778,237005.21,2022-02-28
200778,240798.72,2022-03-31
200778,222457.51,2022-04-29
200778,222368.37,2022-05-31
200778,204897.59,2022-06-30
200778,224178.22,2022-07-29
200778,219875.99,2022-08-31
200778,210958.86,2022-09-30
200778,219187.38,2022-10-31
200778,232333.14,2022-11-30
200778,218672.59,2022-12-30
200778,231989.08,2023-01-31
200778,228913.39,2023-02-28
200778,230113.42,2023-03-31
200778,231507.10,2023-04-28
200778,226568.26,2023-05-31
200778,238838.44,2023-06-30
200778,244667.08,2023-07-31
200778,243204.72,2023-08-31
200778,231726.45,2023-09-29
200778,226884.52,2023-10-31
200778,246343.49,2023-11-30
200778,257095.22,2023-12-29
200778,259525.57,2024-01-31
200778,273364.85,2024-02-29
200778,280487.88,2024-03-28
200778,270011.84,2024-04-30
200778,275698.63,2024-05-31
200778,283742.22,2024-06-28
201621,2066413.74,2019-01-31
201621,2112176.95,2019-02-28
201621,2148349.59,2019-03-29
201621,2194044.18,2019-04-30
201621,2138087.84,2019-05-31
201621,2129762.89,2019-06-28
201621,2143720.33,2019-07-31
201621,2148602.85,2019-08-30
201621,2175289.58,2019-09-30
201621,2167773.92,2019-10-31
201621,2206043.74,2019-11-29
201621,2202816.13,2019-12-31
201621,2248938.75,2020-01-31
201621,2172958.93,2020-02-28
201621,2029197.04,2020-03-31
201621,2120717.22,2020-04-30
201621,2153253.19,2020-05-29
201621,2183557.91,2020-06-30
201621,2235587.94,2020-07-31
201621,2205740.38,2020-08-31
201621,2258643.39,2020-09-30
201621,2157345.86,2020-10-30
201621,2283795.31,2020-11-30
201621,2324144.55,2020-12-31
201621,2301884.37,2021-01-29
201621,2313448.70,2021-02-26
201621,2399563.85,2021-03-31
201621,2422302.13,2021-04-30
201621,2444643.11,2021-05-31
201621,2490170.44,2021-06-30
201621,2526975.53,2021-07-30
201621,2578122.94,2021-08-31
201621,2554892.16,2021-09-30
201621,2580650.05,2021-10-29
201621,2597673.67,2021-11-30
201621,2685761.40,2021-12-31
201621,2604091.49,2022-01-31
201621,2560750.53,2022-02-28
201621,2586845.29,2022-03-31
201621,2472814.33,2022-04-29
201621,2452983.84,2022-05-31
201621,2345843.70,2022-06-30
201621,2447087.81,2022-07-29
201621,2410113.17,2022-08-31
201621,2333797.70,2022-09-30
201621,2391293.82,2022-10-31
201621,2464135.80,2022-11-30
201621,2375197.49,2022-12-30
201621,2452865.82,2023-01-31
201621,2421930.11,2023-02-28
201621,2433015.43,2023-03-31
201621,2452662.26,2023-04-28
201621,2382261.04,2023-05-31
201621,2448152.67,2023-06-30
201621,2467369.75,2023-07-31
201621,2437090.96,2023-08-31
201621,2369579.40,2023-09-29
201621,2326768.85,2023-10-31
201621,2459406.45,2023-11-30
201621,2553316.22,2023-12-29
201621,2531278.43,2024-01-31
201621,2591591.01,2024-02-29
201621,2638483.51,2024-03-28
201621,2547078.79,2024-04-30
201621,2596107.81,2024-05-31
201621,2564292.71,2024-06-28
202617,853893.49,2019-03-29
202617,887749.20,2019-04-30
202617,844771.35,2019-05-31
202617,873380.06,2019-06-28
202617,887689.66,2019-07-31
202617,823334.67,2019-08-30
202617,836508.08,2019-09-30
202617,845030.09,2019-10-31
202617,869949.24,2019-11-29
202617,871371.66,2019-12-31
202617,891683.48,2020-01-31
202617,847162.00,2020-02-28
202617,777652.67,2020-03-31
202617,837261.92,2020-04-30
202617,863674.61,2020-05-29
202617,885959.09,2020-06-30
202617,919271.48,2020-07-31
202617,908793.93,2020-08-31
202617,938410.80,2020-09-30
202617,921656.17,2020-10-30
202617,995325.96,2020-11-30
202617,1013930.67,2020-12-31
202617,994859.64,2021-01-29
202617,1015145.42,2021-02-26
202617,1052371.43,2021-03-31
202617,1079386.20,2021-04-30
202617,1087468.83,2021-05-31
202617,1123823.24,2021-06-30
202617,1154813.14,2021-07-30
202617,1194892.06,2021-08-31
202617,1175494.44,2021-09-30
202617,1202472.59,2021-10-29
202617,1215209.09,2021-11-30
202617,1252120.66,2021-12-31
202617,1202223.84,2022-01-31
202617,1181384.27,2022-02-28
202617,1193795.52,2022-03-31
202617,1112144.35,2022-04-29
202617,1112044.51,2022-05-31
202617,1033448.76,2022-06-30
202617,1118396.81,2022-07-29
202617,1097506.38,2022-08-31
202617,1059062.98,2022-09-30
202617,1096938.38,2022-10-31
202617,1157408.83,2022-11-30
202617,1095771.93,2022-12-30
202617,1154168.22,2023-01-31
202617,1133102.48,2023-02-28
202617,1138602.14,2023-03-31
202617,1145968.52,2023-04-28
202617,1122463.23,2023-05-31
202617,1173326.79,2023-06-30
202617,1199519.59,2023-07-31
202617,1188897.02,2023-08-31
202617,1136062.62,2023-09-29
202617,1112204.92,2023-10-31
202617,1200416.57,2023-11-30
202617,1250969.36,2023-12-29
202617,1257853.90,2024-01-31
202617,1303118.89,2024-02-29
202617,1339971.79,2024-03-28
202617,1284112.07,2024-04-30
202617,1311307.87,2024-05-31
202617,1345692.20,2024-06-28
202618,45500.20,2019-03-29
202618,46944.75,2019-04-30
202618,43928.92,2019-05-31
202618,46135.39,2019-06-28
202618,56248.64,2019-07-31
202618,60077.85,2019-08-30
202618,61344.21,2019-09-30
202618,62021.09,2019-10-31
202618,64026.56,2019-11-29
202618,64616.74,2019-12-31
202618,64996.39,2020-01-31
202618,60402.65,2020-02-28
202618,52232.63,2020-03-31
202618,57305.94,2020-04-30
202618,59759.05,2020-05-29
202618,60986.69,2020-06-30
202618,63126.75,2020-07-31
202618,66271.21,2020-08-31
202618,64331.26,2020-09-30
202618,62448.91,2020-10-30
202618,68903.08,2020-11-30
202618,70436.19,2020-12-31
202618,70105.67,2021-01-29
202618,76018.90,2021-02-26
202618,78812.79,2021-03-31
202618,80933.77,2021-04-30
202618,81985.52,2021-05-31
202618,83967.78,2021-06-30
202618,84375.66,2021-07-30
202618,86426.54,2021-08-31
202618,83983.53,2021-09-30
202618,87232.99,2021-10-29
202618,86233.35,2021-11-30
202618,88664.98,2021-12-31
202618,86195.82,2022-01-31
202618,84022.76,2022-02-28
202618,85955.40,2022-03-31
202618,80297.08,2022-04-29
202618,80460.71,2022-05-31
202618,74441.45,2022-06-30
202618,78906.28,2022-07-29
202618,76668.09,2022-08-31
202618,71506.27,2022-09-30
202618,74814.62,2022-10-31
202618,79696.93,2022-11-30
202618,75315.51,2022-12-30
202618,80599.99,2023-01-31
202618,86631.71,2023-02-28
202618,88287.29,2023-03-31
202618,89828.47,2023-04-28
202618,88617.48,2023-05-31
202618,92693.55,2023-06-30
202618,95113.70,2023-07-31
202618,93349.65,2023-08-31
202618,90028.50,2023-09-29
202618,87824.58,2023-10-31
202618,94303.35,2023-11-30
202618,96901.66,2023-12-29
202618,98380.40,2024-01-31
202618,114623.24,2024-02-29
202618,117997.99,2024-03-28
202618,115060.97,2024-04-30
202618,118779.22,2024-05-31
202618,120548.56,2024-06-28
204546,0.00,2019-07-31
204546,1426592.72,2019-08-30
204546,1446447.51,2019-09-30
204546,1457890.20,2019-10-31
204546,1491763.94,2019-11-29
204546,1492738.53,2019-12-31
204546,1525808.07,2020-01-31
204546,1464300.03,2020-02-28
204546,1358576.01,2020-03-31
204546,1450790.45,2020-04-30
204546,1487909.76,2020-05-29
204546,1522411.67,2020-06-30
204546,1569152.93,2020-07-31
204546,1558802.23,2020-08-31
204546,1597744.96,2020-09-30
204546,1571078.49,2020-10-30
204546,1677035.54,2020-11-30
204546,1705398.57,2020-12-31
204546,1697171.82,2021-01-29
204546,1725994.94,2021-02-26
204546,2029749.20,2021-03-31
204546,2064763.96,2021-04-30
204546,2078679.14,2021-05-31
204546,2134145.79,2021-06-30
204546,2681734.44,2021-07-30
204546,2747840.86,2021-08-31
204546,2712557.61,2021-09-30
204546,2751301.87,2021-10-29
204546,2774332.79,2021-11-30
204546,2849591.74,2021-12-31
204546,2748700.53,2022-01-31
204546,2711986.41,2022-02-28
204546,2719500.75,2022-03-31
204546,2560247.71,2022-04-29
204546,2560201.03,2022-05-31
204546,2408479.88,2022-06-30
204546,2573660.96,2022-07-29
204546,2521190.78,2022-08-31
204546,2452239.33,2022-09-30
204546,2517218.69,2022-10-31
204546,2641770.80,2022-11-30
204546,2529132.66,2022-12-30
204546,2647632.82,2023-01-31
204546,2610816.04,2023-02-28
204546,2629571.71,2023-03-31
204546,2641860.81,2023-04-28
204546,2580535.74,2023-05-31
204546,2675437.01,2023-06-30
204546,2715956.07,2023-07-31
204546,2698421.01,2023-08-31
204546,2629376.13,2023-09-29
204546,1321762.53,2023-10-31
204546,1412385.37,2023-11-30
204546,1472048.08,2023-12-29
204546,1475362.20,2024-01-31
204546,1529684.87,2024-02-29
204546,1567025.89,2024-03-28
204546,1518227.67,2024-04-30
204546,1545079.34,2024-05-31
204546,1579710.74,2024-06-28
204548,0.00,2019-07-31
204548,433511.26,2019-08-30
204548,439173.70,2019-09-30
204548,442840.08,2019-10-31
204548,453726.63,2019-11-29
204548,453992.00,2019-12-31
204548,463544.06,2020-01-31
204548,444190.77,2020-02-28
204548,415692.63,2020-03-31
204548,442692.98,2020-04-30
204548,453427.44,2020-05-29
204548,463756.49,2020-06-30
204548,478848.48,2020-07-31
204548,475022.01,2020-08-31
204548,486882.01,2020-09-30
204548,478827.57,2020-10-30
204548,511000.66,2020-11-30
204548,519532.37,2020-12-31
204548,517289.67,2021-01-29
204548,526248.11,2021-02-26
204548,542451.12,2021-03-31
204548,554099.44,2021-04-30
204548,557040.10,2021-05-31
204548,573910.78,2021-06-30
204548,586356.11,2021-07-30
204548,603292.81,2021-08-31
204548,595391.35,2021-09-30
204548,603808.88,2021-10-29
204548,609983.21,2021-11-30
204548,625429.27,2021-12-31
204548,603131.47,2022-01-31
204548,594468.71,2022-02-28
204548,596847.37,2022-03-31
204548,561081.34,2022-04-29
204548,560737.96,2022-05-31
204548,527811.97,2022-06-30
204548,564851.24,2022-07-29
204548,553962.52,2022-08-31
204548,538806.48,2022-09-30
204548,553046.52,2022-10-31
204548,579517.61,2022-11-30
204548,554436.51,2022-12-30
204548,580285.59,2023-01-31
204548,572156.86,2023-02-28
204548,576211.75,2023-03-31
204548,579630.10,2023-04-28
204548,567251.10,2023-05-31
204548,588468.58,2023-06-30
204548,597797.13,2023-07-31
204548,594223.14,2023-08-31
204548,570942.51,2023-09-29
204548,561312.71,2023-10-31
204548,600838.40,2023-11-30
204548,625729.88,2023-12-29
204548,627834.73,2024-01-31
204548,651970.70,2024-02-29
204548,667497.07,2024-03-28
204548,646901.45,2024-04-30
204548,658252.02,2024-05-31
204548,673143.49,2024-06-28
210291,0.00,2020-05-29
210291,0.00,2020-06-30
210291,29909.77,2020-07-31
210291,29794.84,2020-08-31
210291,30279.19,2020-09-30
210291,29288.94,2020-10-30
210291,32808.04,2020-11-30
210291,33530.83,2020-12-31
210291,33396.45,2021-01-29
210291,34310.49,2021-02-26
210291,35640.53,2021-03-31
210291,36664.13,2021-04-30
210291,37178.58,2021-05-31
210291,38040.88,2021-06-30
210291,38344.52,2021-07-30
210291,39242.18,2021-08-31
210291,38200.83,2021-09-30
210291,39730.84,2021-10-29
210291,39251.96,2021-11-30
210291,40409.24,2021-12-31
210291,39265.24,2022-01-31
210291,38326.72,2022-02-28
210291,39326.38,2022-03-31
210291,36789.69,2022-04-29
210291,36896.36,2022-05-31
210291,34125.80,2022-06-30
210291,36213.97,2022-07-29
210291,35148.36,2022-08-31
210291,32859.30,2022-09-30
210291,34470.93,2022-10-31
210291,36597.15,2022-11-30
210291,34598.17,2022-12-30
210291,36981.20,2023-01-31
210291,36226.36,2023-02-28
210291,36899.86,2023-03-31
210291,37572.10,2023-04-28
210291,37074.46,2023-05-31
210291,38788.77,2023-06-30
210291,39752.03,2023-07-31
210291,39060.27,2023-08-31
210291,37679.77,2023-09-29
210291,36755.23,2023-10-31
210291,39452.23,2023-11-30
210291,40572.24,2023-12-29
210291,41221.95,2024-01-31
210291,42954.60,2024-02-29
210291,44350.55,2024-03-28
210291,43078.27,2024-04-30
210291,44645.24,2024-05-31
210291,45333.87,2024-06-28
217031,0.00,2021-04-30
217031,2610492.82,2021-05-31
217031,2698067.88,2021-06-30
217031,2766241.63,2021-07-30
217031,2762083.19,2021-08-31
217031,2681916.63,2021-09-30
217031,2732423.59,2021-10-29
217031,2770242.00,2021-11-30
217031,2831632.22,2021-12-31
217031,2745400.11,2022-01-31
217031,2691708.50,2022-02-28
217031,2722047.94,2022-03-31
217031,2600491.22,2022-04-29
217031,2509802.18,2022-05-31
217031,2377270.07,2022-06-30
217031,2526688.66,2022-07-29
217031,2481593.48,2022-08-31
217031,2398380.97,2022-09-30
217031,2451623.90,2022-10-31
217031,2490094.59,2022-11-30
217031,2369428.70,2022-12-30
217031,2475106.87,2023-01-31
217031,2452143.55,2023-02-28
217031,2478145.76,2023-03-31
217031,2490173.10,2023-04-28
217031,2446324.06,2023-05-31
217031,2520678.60,2023-06-30
217031,2494271.75,2023-07-31
217031,2477603.82,2023-08-31
217031,2393021.49,2023-09-29
217031,1918899.20,2023-10-31
217031,2037495.90,2023-11-30
217031,2087963.99,2023-12-29
217031,2091501.51,2024-01-31
217031,2144862.83,2024-02-29
217031,2170704.75,2024-03-28
217031,2108984.85,2024-04-30
217031,2115811.61,2024-05-31
217031,2171857.56,2024-06-28
217060,0.00,2021-04-30
217060,2585538.53,2021-05-31
217060,2738138.09,2021-06-30
217060,2843398.71,2021-07-30
217060,2938152.31,2021-08-31
217060,2851828.27,2021-09-30
217060,2895590.72,2021-10-29
217060,3071142.75,2021-11-30
217060,3191550.43,2021-12-31
217060,3122621.89,2022-01-31
217060,2906793.69,2022-02-28
217060,2969591.84,2022-03-31
217060,2787245.75,2022-04-29
217060,2692752.45,2022-05-31
217060,2546753.00,2022-06-30
217060,2822737.53,2022-07-29
217060,2782127.68,2022-08-31
217060,2675152.84,2022-09-30
217060,2783499.38,2022-10-31
217060,2770263.78,2022-11-30
217060,2554834.88,2022-12-30
217060,2714112.35,2023-01-31
217060,2716701.20,2023-02-28
217060,2871638.71,2023-03-31
217060,2923669.14,2023-04-28
217060,2954545.62,2023-05-31
217060,2991125.08,2023-06-30
217060,3018679.04,2023-07-31
217060,2977729.12,2023-08-31
217060,2792589.40,2023-09-29
217060,2794674.27,2023-10-31
217060,3007725.49,2023-11-30
217060,3035217.55,2023-12-29
217060,2995912.02,2024-01-31
217060,3038672.79,2024-02-29
217060,3019775.42,2024-03-28
217060,2977400.17,2024-04-30
217060,3172558.63,2024-05-31
217060,3357706.93,2024-06-28
217061,0.00,2021-04-30
217061,3327604.04,2021-05-31
217061,3464313.28,2021-06-30
217061,3570421.59,2021-07-30
217061,3671807.02,2021-08-31
217061,3598042.57,2021-09-30
217061,3683549.73,2021-10-29
217061,3755573.43,2021-11-30
217061,3851898.27,2021-12-31
217061,3738074.04,2022-01-31
217061,3668435.00,2022-02-28
217061,3723285.92,2022-03-31
217061,3521665.58,2022-04-29
217061,3484117.54,2022-05-31
217061,3316118.69,2022-06-30
217061,3556402.36,2022-07-29
217061,3492778.29,2022-08-31
217061,3392872.92,2022-09-30
217061,3469599.97,2022-10-31
217061,3569198.48,2022-11-30
217061,3387194.87,2022-12-30
217061,3555758.83,2023-01-31
217061,3523829.06,2023-02-28
217061,3511335.73,2023-03-31
217061,3554825.50,2023-04-28
217061,3517303.66,2023-05-31
217061,3641250.79,2023-06-30
217061,3698414.84,2023-07-31
217061,3677963.14,2023-08-31
217061,3547095.60,2023-09-29
217061,3513933.19,2023-10-31
217061,3745729.10,2023-11-30
217061,3856228.81,2023-12-29
217061,3876541.74,2024-01-31
217061,4000455.31,2024-02-29
217061,3851110.00,2024-03-28
217061,3764228.52,2024-04-30
217061,3877465.29,2024-05-31
217061,4010849.56,2024-06-28
217063,0.00,2021-04-30
217063,81301.47,2021-05-31
217063,81335.22,2021-06-30
217063,81532.93,2021-07-30
217063,81522.51,2021-08-31
217063,81266.33,2021-09-30
217063,80572.72,2021-10-29
217063,80676.66,2021-11-30
217063,81013.23,2021-12-31
217063,80323.71,2022-01-31
217063,86356.40,2022-02-28
217063,86231.81,2022-03-31
217063,83522.98,2022-04-29
217063,83749.78,2022-05-31
217063,81384.28,2022-06-30
217063,83733.17,2022-07-29
217063,82039.81,2022-08-31
217063,80449.89,2022-09-30
217063,81575.30,2022-10-31
217063,83471.34,2022-11-30
217063,81897.79,2022-12-30
217063,84345.61,2023-01-31
217063,95451.83,2023-02-28
217063,96782.71,2023-03-31
217063,97718.96,2023-04-28
217063,96114.62,2023-05-31
217063,97421.14,2023-06-30
217063,97739.63,2023-07-31
217063,97474.85,2023-08-31
217063,95642.76,2023-09-29
217063,95071.63,2023-10-31
217063,98877.84,2023-11-30
217063,101365.93,2023-12-29
217063,101442.72,2024-01-31
217063,102514.36,2024-02-29
217063,103803.53,2024-03-28
217063,101974.66,2024-04-30
217063,103835.47,2024-05-31
217063,104865.00,2024-06-28
217065,0.00,2021-04-30
217065,80486.66,2021-05-31
217065,80445.40,2021-06-30
217065,80673.98,2021-07-30
217065,80650.13,2021-08-31
217065,80528.10,2021-09-30
217065,79845.45,2021-10-29
217065,79865.96,2021-11-30
217065,80122.20,2021-12-31
217065,79444.67,2022-01-31
217065,85466.83,2022-02-28
217065,85476.31,2022-03-31
217065,82788.67,2022-04-29
217065,82917.94,2022-05-31
217065,80460.83,2022-06-30
217065,82900.35,2022-07-29
217065,80994.82,2022-08-31
217065,79487.70,2022-09-30
217065,80507.10,2022-10-31
217065,82450.98,2022-11-30
217065,80691.11,2022-12-30
217065,83312.87,2023-01-31
217065,95293.62,2023-02-28
217065,96836.16,2023-03-31
217065,97764.19,2023-04-28
217065,96219.98,2023-05-31
217065,97486.10,2023-06-30
217065,97787.54,2023-07-31
217065,97486.95,2023-08-31
217065,95616.86,2023-09-29
217065,95046.23,2023-10-31
217065,98976.45,2023-11-30
217065,101478.84,2023-12-29
217065,101541.57,2024-01-31
217065,102639.22,2024-02-29
217065,104024.85,2024-03-28
217065,102062.33,2024-04-30
217065,104010.19,2024-05-31
217065,105088.69,2024-06-28
217267,0.00,2021-04-30
217267,102247.85,2021-05-31
217267,102446.05,2021-06-30
217267,103054.71,2021-07-30
217267,103017.04,2021-08-31
217267,101517.35,2021-09-30
217267,103607.13,2021-10-29
217267,102960.45,2021-11-30
217267,105131.63,2021-12-31
217267,106290.63,2022-01-31
217267,107683.42,2022-02-28
217267,108016.88,2022-03-31
217267,102170.34,2022-04-29
217267,101889.75,2022-05-31
